#{"t_start": 1760612182.2635891, "env_id": "None"}
r,l,t
-12.494947,9,1267.368554
8.660336,95,1269.742173
11.558538,19,1270.221723
11.913937,16,1270.629159
-12.645303,13,1270.965415
-20.917125,221,1276.359618
-12.74097,19,1277.024343
0.47904,299,1284.346097
12.012756,15,1284.747464
-14.3638,70,1286.490594
11.901074,17,1286.923389
11.954617,12,1287.235786
10.824608,46,1288.377647
11.62889,17,1288.809872
9.47395,88,1291.011746
-12.191001,7,1291.202727
-12.775717,19,1291.683487
11.994785,35,1292.554379
-12.072226,35,1293.421788
-21.114004,205,1298.466167
-13.750397,30,1299.116786
10.2847,74,1300.925403
11.917695,22,1301.475574
11.812567,13,1301.809362
-14.479023,58,1303.231127
-15.887038,90,1305.434843
12.02383,11,1305.72456
12.331106,35,1306.590437
-12.652084,23,1307.171931
-12.836457,20,1307.658418
-13.379856,31,1308.434929
10.779089,60,1309.915184
-15.68296,71,1311.665821
10.662862,47,1312.852638
12.007132,27,1313.533428
-13.01178,32,1314.34208
-12.321426,13,1314.680977
11.78726,16,1315.092487
12.078186,68,1316.76418
-12.53738,14,1317.283705
-12.119221,15,1317.626642
11.127656,32,1318.397509
12.284891,19,1318.858631
-25.675198,161,1322.807281
-14.004613,47,1323.980219
11.224832,19,1324.438138
11.328847,30,1325.164482
-8.984087,280,1332.032419
-12.348905,8,1332.245601
-13.355401,38,1333.233499
-12.451507,8,1333.447394
10.604956,49,1334.657562
-19.88352,202,1339.60113
-12.54924,18,1340.017462
10.754026,43,1341.059479
9.68556,121,1344.01007
8.041043,115,1346.845748
7.910945,163,1350.826949
-14.292555,87,1352.981401
11.496179,15,1353.36404
-12.594488,12,1353.656437
12.054346,14,1353.994045
11.997119,11,1354.279394
-12.913643,19,1354.761005
7.64703,124,1357.810331
11.482208,37,1358.572205
-12.504581,12,1358.889947
11.578403,21,1359.423457
-18.511035,160,1363.331343
-14.762919,62,1364.896549
-12.981617,18,1365.360826
11.943033,17,1365.772259
-14.033167,61,1367.191114
-12.59633,17,1367.623289
-12.529557,14,1367.985168
-12.153196,38,1368.925448
11.293714,46,1370.062899
-13.454284,34,1370.888309
12.089502,16,1371.274993
-13.121796,30,1372.021837
11.870209,12,1372.333218
10.462664,40,1373.323593
10.798414,46,1374.463919
-14.43341,85,1376.548599
-12.363574,10,1376.789776
-12.425223,63,1378.361306
-13.619295,55,1379.726414
-12.606232,18,1380.162048
-12.495648,14,1380.520174
10.952166,47,1381.683868
11.042929,52,1382.96669
-11.842786,44,1384.067633
-12.988356,34,1384.915756
